"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HNZRRMDK","conferencePaper","1978","Tobler, Waldo R.","Comparing figures by regression","Proceedings of the 5th annual conference on Computer graphics and interactive techniques","978-1-4503-7908-3","","10/cprhrj","https://dl.acm.org/doi/pdf/10.1145/965139.807389","A procedure is described to obtain an empirical transformation regressing an independent plane configuration against a similar dependent configuration. As implemented the procedure constructs the mapping by estimating two bivariate tables, with arguments on a square lattice interpolated from the irregularly arranged original observations. The tables are constructed so that the transformation has smooth derivatives and so as to agree, as nearly as possible, with the empirical data. The curvilinear regression coefficients are represented a spatially varying, but coordinate invariant, second order tensor field. Bidimensional regression can automatically be illustrated by a warped coordinate grid, by comparison of the original configuration and the regression estimate, by a field of displacement vectors, by a diagram of the principal strains, and by a contour map. Intermediate configurations and extrapolations are also available.","1978-08-23","2020-05-08 21:33:04","2021-02-09 13:41:05","2020-05-08","193–195","","","","","","","SIGGRAPH '78","","","","Association for Computing Machinery","New York, NY, US","","","","","","ACM Digital Library","CC79","","","","","CC-Anamorphose (sauf cartogramme); LocCC-LBTCP","Bidimensional regression; Geometric transformations; Graphics; Numerical analysis; Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QQEFN6T","journalArticle","1989","Tobler, Waldo R.","An update to ‘Numerical Map Generalization’","Cartographica: The International Journal for Geographic Information and Geovisualization","","","10/d3922d","https://utpjournals.press/doi/10.3138/U2U2-K560-4L26-2663","Mathematical procedures for the generalization of isarithmic maps are derived. It is shown that the level of generalization for different purposes may be specified in advance, and that under certain conditions the original map can be recreated from the generalized map. Les procédures mathématiques utilisées pour la généralisation des cartes d'isarithmes sont dérivées. L'article montre que le niveau de généralisation peut être spécifié à l'avance en fonction des buts visés et que, sous certaines conditions, la carte originale peut être recrée à partir de la carte généralisée.","1989","2020-05-11 16:22:15","2021-02-09 13:41:06","2020-05-11 16:22:15","7-25","","1","26","","","","","","","","","","en","","","","world","utpjournals.press","CC120","","","","","LocCC-CDSC; CC-Généralisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ2EBZZH","conferencePaper","1996","Tobler, Waldo R.","Smooth mass-preserving areal data redistribution on a sphere","","","","","","","1996","2020-06-11 08:03:45","2021-02-09 13:41:06","","","","","","","","","","","","","","Santa Fe NM","en","","","","","","CC264","","","","","CC-Lissage, interpolation; LocCC-CDMV; ⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Third International Conference on Integrating Geographical Information Systems and Environmental Modeling","","","","","","","","","","","","","","",""
"DC7CX4K8","webpage","","Tobler, Waldo R.","Tobler's Flow Map","http://www.csiss.org","","","","http://www.csiss.org/clearinghouse/FlowMapper/","","","2020-05-23 21:47:57","2020-06-13 12:49:51","","","","","","","","","","","","","","","","","","","","","","CoteCC233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2P5WGVN5","presentation","2015","Tobler, Waldo R.","Some thoughts on displaying geographical movement","","","","","https://www.wrsaonline.org/newsite/wp-content/uploads/2018/02/Tucson_Program_FINAL.pdf","","2015-02-17","2020-05-23 21:13:39","2020-06-13 12:45:11","","","","","","","","","","","","","","Tucson, US-AZ","en","","diaporama (absent )","","","","","Cote:CC314","","","","Migrations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Western Regional Science Association 54th Annual Meeting","","","","","","","","","","","","","","","",""
"GZVPFVB2","presentation","2013","Tobler, Waldo R.","Lee's Migration Theory: Pluses and Minuses","","","","","","","2013-02","2020-05-19 23:38:48","2020-06-13 12:25:50","","","","","","","","","","","","","","Santa Barbara, US-CA","en","","Diaporama","","","","","Cote:CC256","","C:\Users\A-C.bronner\Zotero\storage\C3MBRAQU\Lee's Migration Theory.pps","","Migrations; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Western Regional Science Association meeting","","","","","","","","","","","","","","","",""
"2CWYTLDY","presentation","2011","Tobler, Waldo R.","Migration: Maps and Models. An Introduction","","","","","","Most change in the world is due to movement; the movement of ideas, people, materials, money, disease, genes, animals, insects, and so on. In particular the movement of people has always been very important in our dynamic world. A current estimate is that some 210 million people migrated last year. The subject is so large that it is difficult to provide a comprehensive treatment. Instead I concentrate on just a few aspects of the subject, with a short description of some of my own work, including the making of simple interactive maps, followed by a review of an important historical reference and the idea of laws of migration. Next, bringing the material closer to the present with spatial modeling in a discrete framework. I follow this with a continuous model that results in displays of potential-driven vector fields. These are used to provide an illustration of the effect of resolution on migration data.","2011-11-17","2020-05-21 21:01:36","2020-06-13 12:21:55","","","","","","","","","","","","","","California State Polytechnic University, Pomona, 17 nov.","en","","Diaporama","","","","","Cote:CC238","","","","Migrations; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQ7KRMB7","presentation","2011","Tobler, Waldo R.","Migration: Maps and Models. An Introduction","","","","","","Most change in the world is due to movement; the movement of ideas, people, materials, money, disease, genes, animals, insects, and so on. In particular the movement of people has always been very important in our dynamic world. A current estimate is that some 210 million people migrated last year. The subject is so large that it is difficult to provide a comprehensive treatment. Instead I concentrate on just a few aspects of the subject, with a short description of some of my own work, including the making of simple interactive maps, followed by a review of an important historical reference and the idea of laws of migration. Next, bringing the material closer to the present with spatial modeling in a discrete framework. I follow this with a continuous model that results in displays of potential-driven vector fields. These are used to provide an illustration of the effect of resolution on migration data.","2011-11-16","2020-05-19 22:54:41","2020-06-13 12:21:32","","","","","","","","","","","","","","California State University, San Bernardino","en","","Diaporama","","","","","Cote:CC238","","C:\Users\A-C.bronner\Zotero\storage\R548ML82\A maps & Models talk.pps","","Migrations; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NAIMCYSB","presentation","2009","Tobler, Waldo R.","Ravenstein Reconsidered","","","","","","","2009","2020-05-19 22:00:43","2020-06-13 12:08:28","","","","","","","","","","","","","","San Diego State University, San Diego, US-CA","en","","","","","","","Cote:CC223","","","","Migrations; LocCC-PB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V83JKNJP","presentation","2008","Tobler, Waldo R.","Spatial Analysis Visualized. How many words are a graphic worth?","","","","","","A Visualization of Spatial Analysis : Visualization of some Spatial Concepts. How many words are a graphic worth? Some examples of my work. An Introduction using eleven examples.","2008","2020-05-19 23:10:09","2020-06-13 12:08:12","","","","","","","","","","","","","","","en","","Diaporama","","","","","Cote:CC234","","C:\Users\A-C.bronner\Zotero\storage\9PNR8MY5\A Visualization of Spatial Analysis.pps","","LocCC-CDSH; CC-Visualisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZTKVZBW","presentation","2007","Tobler, Waldo R.","Properties of Portolan Charts","","","","","http://www.aag.org/galleries/conference-files/AAG2007_Printed_Program.pdf","","2007-04-17","2020-05-19 21:45:44","2020-06-13 12:07:10","","","","","","","","","","","","","","San Francisco, US-CA","en","","Diaporama","","","","","Cote:CC221","","C:\Users\A-C.bronner\Zotero\storage\6QESQXIR\Portolani.pps","","CC-Systeme_projection; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Association of American Geographers Annual Meeting","","","","","","","","","","","","","","","",""
"GI4NFXII","presentation","2005","Tobler, Waldo R.","Using Asymmetry to Estimate Potential","","","","","","","2005-02-17","2020-05-19 21:17:58","2020-06-13 12:05:45","","","","","","","","","","","","","","Redondo Beach, US-CA","en","","","","","","","Cote:CC219","","C:\Users\A-C.bronner\Zotero\storage\NXI6X9PS\Asymmetry to Potentials.pps","","LocCC-CDSH; CC-Modelisation (mouvement)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sunbelt XXV. International Sunbelt Social Network Conference","","","","","","","","","","","","","","","",""
"RC92QS49","presentation","2001","Tobler, Waldo R.","Mapping Migration Pattern","","","","","http://www.csiss.org/streaming_video/csiss/tobler_map_migtn_patterns.htm","Dr. Tobler reviews the principles and techniques that can be used to create maps of human population movements. In a presentation that includes several map examples, he offers techniques that can be used by social scientists who wish to map migration data such as that typically contained in the U.S. census.","2001","2020-05-19 22:19:42","2020-06-13 12:03:55","","","","","","","","","","","","","","","en","","captation vidéo","","","","","Cote CC323","","","","CC-Migration, Flux; LocCC-WEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSISS Summer Workshops","","","","","","","","","","","","","","","",""
"W6GM4TQC","presentation","2001","Tobler, Waldo R.","Geographical Interpolation: Pycnophylactic Reallocation","","","","","http://www.csiss.org/streaming_video/csiss/tobler_pycno.htm","Dr. Tobler describes the areal interpolation technique he deve-loped to permit the construction of density, or contour maps, from data arranged by area. Such data, which may include information about geographical units such as school districts or neighborhoods, are common in the social sciences, but present special problems for cartographers. Dr. Tobler's tech-nique provides social scientists with a means of resolving these problems.","2001","2020-05-19 22:25:36","2020-06-13 12:02:47","","","","","","","","","","","","","","","en","","Diaporama. Captation vidéo","","","","","Cote:CC226","","C:\Users\A-C.bronner\Zotero\storage\3X9G9HHA\Pycnophylactic Reallocation.pps","","CC-Lissage, interpolation; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSISS Summer Workshops","","","","","","","","","","","","","","","",""
"S66KPKTS","presentation","2000","Tobler, Waldo R.","Exploring Geography Cartographically","","","","","","","2000-04","2020-05-19 20:56:50","2020-06-13 11:59:59","","","","","","","","","","","","","","Paris, France","en","","","","","","","Cote:CC211","","C:\Users\A-C.bronner\Zotero\storage\CIGLACWY\Explore Geography.pps","","LocCC-CDSH; CC-Geographie, cartographie, etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Explorer la géographie cartographiquement","","","","","","","","","","","","","","","",""
"SSX8QE8X","presentation","2007","Tobler, Waldo R.","Exploring Geography Cartographically","","","","","","","2007","2020-05-23 20:04:27","2020-06-13 11:51:23","","","","","","","","","","","","","","","en","","Powerpoint","","","","","Cote:CC301","","","","LocCC-CDSH; CC-Geographie, cartographie, etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Explorer la géographie cartographiquement","","","","","","","","","","","","","","","",""
"GS5C696W","presentation","2004","Tobler, Waldo R.","An introductory lecture on Geographical Location and Map Projections.","","","","","","","2004-07","2020-05-19 22:42:33","2020-06-13 09:11:32","","","","","","","","","","","","","","US-CA","en","","Powerpoint","","","","","Cote:CC230","","C:\Users\A-C.bronner\Zotero\storage\KFWG4CX5\Intro to Map Projections.pps","","CC-Systeme_projection; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","California Summer Institute : Spatial Perspectives on Analysis for Curriculum Enhancement","","","","","","","","","","","","","","","",""
"M6T6IRCB","presentation","2004","Tobler, Waldo R.","A Flow Talk","","","","","","","2004","2020-05-19 21:14:49","2020-06-13 09:08:41","","","","","","","","","","","","","","US Bureau of the Census, Washington D.C.","en","","Powerpoint","","","","","Cote:CC218","","","","LocCC-ABS; CC-Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWL64GVK","presentation","2003","Tobler, Waldo R.","AirTraffic : A day in the life of Air Traffic over the Continental US","","","","","","","2003","2020-05-19 22:30:07","2020-06-13 09:08:23","","","","","","","","","","","","","","","en","","","","","","","Cote:CC229","","","","CC-Déplacement-Transports; LocCC-CDSH peut-être","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aviation Systems Division of NASA Ames Research Center Meeting","","","","","","","","","","","","","","","",""
"6SCWZQG2","presentation","2001","Tobler, Waldo R.","The World is Shriveling as it Shrinks","","","","","","","2001-10-26","2020-05-19 21:12:17","2020-06-13 08:58:21","","","","","","","","","","","","","","Texas A&M University, College Station, US-TX","en","","Powerpoint","","","","","Cote:CC217","","C:\Users\A-C.bronner\Zotero\storage\DSLQJK4L\The Shriveling World.pps","","CC-Anamorphose (sauf cartogramme); LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Invited Presentation","","","","","","","","","","","","","","","",""
"NLE3Y5GW","presentation","2001","Tobler, Waldo R.","A problem in Geography","","","","","","","2001-10-04","2020-05-19 22:34:08","2020-06-13 08:58:06","","","","","","","","","","","","","","University of California at Santa Barbara","en","","Powerpoint","","","","","Cote:CC227","","C:\Users\A-C.bronner\Zotero\storage\GWPXANWY\Quantitative methods Group.pps","","LocCC-CDSH; CC-Mouvement et Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Quantitative Methods in Social Sciences Seminar","","","","","","","","","","","","","","","",""
"N9ZCS8ZE","presentation","2001","Tobler, Waldo R.","Map Making for Social Scientits","","","","","https://www.asanet.org/sites/default/files/2001_am_final_program_complete_with_cover_o.pdf","","2001-08-20","2020-05-19 21:35:21","2020-06-13 08:56:05","","","","","","","","","","","","","","Anaheim","en","","Powerpoint","","","","","Cote:CC216","","C:\Users\A-C.bronner\Zotero\storage\CB8XCLDB\Maps for Social Scientists.pps","","LocCC-CDSH; CC-Geographie, cartographie, etc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","American Sociological Association Annual Meetings","","","","","","","","","","","","","","","",""
"FN558M4D","presentation","2001","Tobler, Waldo R.","Resel Processing","","","","","","","2001-05-25","2020-05-19 22:36:47","2020-06-13 08:55:43","","","","","","","","","","","","","","Santa Barbara, US-CA","en","","Powerpoint","","","","","Cote:CC228","","C:\Users\A-C.bronner\Zotero\storage\JMG5VYEN\Resel Operators.pps","","LocCC-CDSH; CC-SIG (GIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Departement of Electrical and Computer Engineering Meeting","","","","","","","","","","","","","","","",""
"RZFMIYR8","presentation","2001","Tobler, Waldo R.","Qibla Map Projections","","","","","","","2001-01","2020-05-19 21:07:25","2020-06-13 08:52:05","","","","","","","","","","","","","","Los Angeles","en","","Powerpoint","","","","","Cote:CC215","","","","CC-Systeme_projection; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","California Map Society, University of Southern California","","","","","","","","","","","","","","","",""
"WD7AT8KY","journalArticle","1979","Tobler, Waldo R.","Rejoinder","Journal of the American Statistical Association","","0162-1459","10/ghz78n","https://doi.org/10.1080/01621459.1979.10481649","","1979-01","2020-04-30 07:37:17","2021-02-09 13:41:06","2020-04-30 07:37:17","535-536","","367","74","","","","","","","","","","en","","","","","Taylor and Francis+NEJM","CC332","","","","","LocCC-WEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJYKXFDC","presentation","1975","Tobler, Waldo R.","Schachbrett Modelle in der Geographie","","","","","","","1975-04-17","2020-05-11 12:06:22","2020-06-13 08:03:18","","","","","","","","","","","","","","Wien, AT","de","","","","","","","Cote:CC280","","","","LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arbeitskreis für neue Methoden in der Regionalforschung","","","","","","","","","","","","","","","",""
"VMT47PJK","presentation","2009","Tobler, Waldo R.","Tobler’s Flow Mapper","","","","","","","2009","2020-05-19 23:27:32","2020-06-13 07:39:45","","","","","","","","","","","","","","Santa Barbara","en","","Tutorial","","","","","Cote:CC233","","C:\Users\A-C.bronner\Zotero\storage\8MAM3R5Y\Flow Tutorial.pps","","LocCC-CDSH; CC-Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSISS Center of Spatially Integrated Social Science Workshops","","","","","","","","","","","","","","","",""
"3H2DC3LG","webpage","2001","Tobler, W. R.","Mapping Migration Patterns - A Lesson in Cartography by Dr Waldo Tobler","","","","","http://www.csiss.org/streaming_video/csiss/tobler_map_migtn_patterns.htm","","2001","2020-05-25 09:12:26","2020-06-13 07:29:27","2020-05-25 09:12:26","","","","","","","","","","","","","","","","","","","","","CoteCC323","","C:\Users\A-C.bronner\Zotero\storage\AWRBW3VL\tobler_map_migtn_patterns.html","","LocCC-WEB; CC-Mouvement et Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JX3WD4DW","presentation","1999","Tobler, W. R.","Unusual Map Projections","","","","","https://ktwop.files.wordpress.com/2012/09/unusual-map-projections-tobler-1999.pdf|http://www.ncgia.ucsb.edu/projects/tobler/Projections/sld001.htm","Map projections are fun.","1999-03-23","2020-05-18 13:00:33","2021-07-14 11:46:23","","","","","","","","","","","","","","Honolulu, Hawai","en","","Diaporama","","","","","Cote:CC209","","C:\Users\A-C.bronner\Zotero\storage\BNVJJCBU\Map Projections are fun.pps","","CC-Systeme_projection; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Association of American Geographers Annual Meeting","","","","","","","","","","","","","","","",""
"FZJJLHMP","presentation","1970","Tobler, W. R.","ntroduction comments on Information Theory.","","","","","","","1970","2020-05-22 07:58:40","2020-06-13 07:24:22","","","","","","","","","","","","","","Michigan","en","","texte informel de la conference","","","","","Cote CC272","","","","CC-SIG (GIS); LocCC-LBCAO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Enseignement","","","","","","","","","","","","","","","",""
"JJP2Q52G","journalArticle","2000","Schlagau, S.; Tobler, Waldo R.","Stand und Entwicklungstendenzen der Feinschneidtechnik                                                                 Traduction littérale : Situation et tendances de l'évolution de la technologie du découpage fin","Materialwissenschaft und Werkstofftechnik","","1521-4052","10/c44642","https://onlinelibrary.wiley.com/doi/abs/10.1002/1521-4052%28200011%2931%3A11%3C972%3A%3AAID-MAWE972%3E3.0.CO%3B2-3","Der Stand der Feinschneidtechnik ermöglicht die prozesssichere und wirtschaftliche Herstellung von dreidimensionalen Multifunktionsteilen. Die Kombination von Feinschneiden mit anderen Umformverfahren – über die Nebenformelemente hinaus – führt laufend zu neuen Anwendungen. Der Treiber zu solchen innovativen Lösungen ist der permanente Druck zur Reduktion der Stückkosten.               Traduction littérale : L'état de l'art de la technologie du découpage fin permet la production fiable et économique de pièces tridimensionnelles multifonctionnelles. La combinaison du découpage fin avec d'autres procédés de transformation- au-delà des éléments de transformations secondaires - conduit continuellement à de nouvelles applications. Le moteur de ces solutions innovantes est la pression permanente pour réduire les coûts unitaires.","2000","2020-04-30 08:44:57","2021-02-09 13:41:06","2020-04-30 08:44:57","972-978","","11","31","","","","","","","","","","de","© 2000 WILEY‐VCH Verlag GmbH, Weinheim, Fed. Rep. of Germany","","","","Wiley Online Library","CC322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVZUSG7N","manuscript","2004","Tobler, Waldo R.","Movement Mapping","","","","","","Notes sur le programme de flux en vue d'une interactivité.","2004","2020-05-23 21:26:49","2020-06-12 13:18:02","","","25","","","","","","","","","","","","en","","","","","","CC319","","","C:\Users\A-C.bronner\Zotero\storage\7ZPQJMPQ\Tobler - 2004 - Movement Mapping.pdf","","LocCC-CDMV; CC-Flux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4I4MVBK","document","2012","Tobler, Waldo R.","A way to look at the geographical movement","","","","","","Short note","2012-12-14","2020-05-23 21:22:13","2020-06-12 13:14:03","","","","","","","","","","","","","","","en","","","","","","CC317","","","C:\Users\A-C.bronner\Zotero\storage\KMX535MS\Tobler - 2012 - A way to look at the geographical movement.pdf","","CC-Mouvements; LocCC-CDMV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZNPB2JR","manuscript","1967","Tobler, Waldo R.","On Representing Accessibility","","","","","","","1967","2020-05-23 21:19:02","2020-06-12 13:08:15","","","","","","","","","","","","","","","en","","","","","","CC315","","","","","LocCC-CDSA; CC-Déplacement-Transports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
